组合,关联度系数
"['白带', '赤白带不止']",0.23243073307087325
"['白带', '腹痛']",0.00241415986428839
"['白带', '乏力']",0.0036855916957065915
"['白带', '饮食减少']",0.0025141842968046113
"['白带', '面色萎黄']",0.0007064003893033632
"['白带', '身凉']",0.01915263787711674
"['白带', '劳倦']",0.0009763323147620184
"['赤白带不止', '乏力']",0.004784109782502988
"['白带', '子宫冷']",0.004583485025727474
"['赤白带不止', '腹痛']",0.0027392012818525657
"['赤白带不止', '饮食减少']",0.005909760667152986
"['白带', '瘦弱']",0.0022394337017179744
"['乏力', '瘦弱']",0.040017947085087435
"['白带', '小便浊败']",0.0026976977383584844
"['白带', '不孕']",9.143507875841728e-05
"['乏力', '面色萎黄']",0.031124384855317544
"['赤白带不止', '子宫冷']",0.012518737497872356
"['赤白带不止', '瘦弱']",0.0014598983776413776
"['乏力', '饮食减少']",0.02341265954417593
"['赤白带不止', '咳嗽']",0.04234879981648021
"['面色萎黄', '劳倦']",0.037485230659130786
"['白带', '大崩不止']",0.00013676575999810314
"['面色萎黄', '瘦弱']",0.03256937385125336
"['赤白带不止', '身凉']",0.011889522774395589
"['乏力', '劳倦']",0.024134750885715484
"['腹痛', '饮食减少']",0.015226378341791302
"['白带', '咳嗽']",0.010639370286745997
"['饮食减少', '劳倦']",0.022099551511537308
"['白带', '心烦']",0.00030872858352204435
"['白带', '畏寒']",0.005649689459003238
"['头晕', '目眩']",0.0704505932399998
"['白带', '头晕']",0.002249940881844825
"['白带', '腹胀']",0.008892779054471611
"['白带', '阴痛']",0.005649689459003238
"['饮食减少', '面色萎黄']",0.01752003351635434
"['赤白带不止', '心烦']",0.005909094297367745
"['不孕', '子宫冷']",0.035129208757122665
"['白带', '半身不遂']",0.011783785675167802
"['白带', '小便利数']",0.002380396722080902
"['赤白带不止', '不孕']",0.0011733299153529053
"['白带', '腰痛']",0.0003906343790958111
"['白带', '目眩']",8.864439317601835e-05
"['赤白带不止', '大崩不止']",0.0007900692173972157
"['赤白带不止', '面色萎黄']",0.0014772494989867546
"['乏力', '目眩']",0.02917054480856418
"['子宫冷', '身凉']",0.029690772970641155
"['赤白带不止', '劳倦']",0.00027118799714132
"['赤白带不止', '小便浊败']",5.271613205848347e-05
"['面色萎黄', '舌淡']",0.058615764938435344
"['阴痛', '腹冷']",0.06540910636076663
"['白带', '湿痰']",0.004169561021273083
"['瘦弱', '心烦']",0.015621562842379255
"['面色萎黄', '苔白']",0.03672522624166702
"['不孕', '身凉']",0.02175654959161133
"['瘦弱', '劳倦']",0.008236019923444249
"['白带', '便脓血']",0.007903070167451953
"['白带', '呕吐']",0.002007389508124846
"['赤白带不止', '腹胀']",0.007140267524088695
"['饮食减少', '瘦弱']",0.005339371082264011
"['饮食减少', '腰痛']",0.014819170107147284
"['白带', '四肢冷']",0.00025536214241361765
"['饮食减少', '心烦']",0.008990775762088399
"['瘦弱', '头旋目眩']",0.03446562425235539
"['赤白带不止', '阴痛']",0.002347912559959031
"['苔白', '舌淡']",0.0719775210203828
"['白带', '骨节疼痛']",0.001103296858190661
"['赤白带不止', '半身不遂']",0.006646417306644392
"['白带', '经闭']",0.0001793555806987035
"['白带', '苔白']",0.00025536214241361765
"['乏力', '心烦']",0.007096455268150392
"['面色萎黄', '短气']",0.0294626153034776
"['赤白带不止', '畏寒']",0.002347912559959031
"['赤白带不止', '盗汗']",0.0015289179864741431
"['腹痛', '面色萎黄']",0.0006796657224443781
"['白带', '脉沉']",0.00025536214241361765
"['饮食减少', '盗汗']",0.016405637513707827
"['白带', '腹冷']",0.00025536214241361765
"['白带', '盗汗']",0.0014757117302017786
"['面色萎黄', '脉沉']",0.026088390312972054
"['头晕', '耳鸣']",0.03748856471405948
"['头晕', '恶心']",0.04775625612251966
"['白带', '头痛']",0.0043535220220102255
"['劳倦', '心悸']",0.02892047891619165
"['苔白', '脉沉']",0.04165695150091975
"['白带', '心悸']",0.0016631890028798724
"['腹痛', '瘦弱']",5.4463079576350104e-05
"['乏力', '腹胀']",0.01106899547907092
"['赤白带不止', '头晕']",0.0023172743728527845
"['面色萎黄', '心悸']",0.02629253508953394
"['腹痛', '劳倦']",0.0003376190474674301
"['阴痛', '脐下冷痛']",0.060914605693397655
"['瘦弱', '盗汗']",0.011130114942133451
"['头晕', '腰酸']",0.00913697970566707
"['白带', '恶心']",0.0016631890028798724
